"","V1","V2"
"4",0.524570826081145,0
"12",0.523923694647105,1
"22",0.524066623121295,1
"24",0.530560561886457,1
"31",0.965806678419224,1
"36",0.524138475887089,1
"37",0.817680623602467,1
"38",0.965796699068709,1
"39",0.526644224616956,1
"44",0.523923846810215,1
"59",0.523982294442954,1
"78",0.523923389589334,1
"79",0.737288056788521,1
"85",0.0986947372657319,1
"90",0.917583088486518,1
"95",0.523984553387705,1
"118",0.52440457877835,1
"119",0.524403829133634,1
"127",0.917586694420321,1
"131",0.533847115746234,1
"135",0.09827508715444,1
"137",0.525832545013229,1
"143",0.524617653279614,1
"148",0.523929477774858,1
"151",0.917583886749768,1
"152",0.524735081956494,1
"157",0.524403829133008,1
"165",0.91741467930104,1
"177",0.524406094886154,0
"182",0.524403829144041,0
"186",0.543227817224363,1
"187",0.523924009608291,1
"188",0.606635216713608,1
"196",0.91758669979357,1
"198",0.523923694658193,1
"203",0.523923691674407,1
"205",0.91758669979357,1
"213",0.917477869739347,1
"217",0.965743303727245,1
"220",0.748420605209426,1
"222",0.52440383764635,1
"228",0.538075429999883,1
"235",0.591680693763414,1
"238",0.756826580938752,1
"245",0.965806678419224,1
"251",0.736310838506412,0
"252",0.964735940648461,1
"263",0.917639091839195,1
"265",0.716920929899538,1
"269",0.733059148627235,1
"279",0.524298207748848,1
"280",0.527204557321732,1
"284",0.762394887906752,1
"285",0.736277414367755,1
"294",0.526274188928602,1
"298",0.917554539870956,1
"311",0.523923163234124,1
"321",0.523923695427881,1
"324",0.965806678419224,1
"337",0.523921840328362,1
"341",0.527826063208662,1
"348",0.832642080456801,1
"351",0.524403829135525,1
"360",0.524505548237036,1
"367",0.965775237949886,1
"373",0.970159264797038,1
"376",0.524949083492064,1
"381",0.523923714766703,1
"385",0.524949083492064,1
"394",0.524405952627752,1
"397",0.917580160036266,1
"401",0.522913045952594,1
"402",0.524533682509022,1
"413",0.941035791331904,1
"414",0.524403829133008,1
"422",0.723678100782717,1
"423",0.524403829174824,1
"425",0.916672291728579,1
"437",0.917554397747429,1
"442",0.53510445350989,1
"450",0.817176097591658,1
"451",0.965801662500553,1
"455",0.523932545489796,1
"456",0.736277583526852,1
"465",0.523982294442954,1
"466",0.736113106067846,1
"472",0.524405952627752,1
"476",0.736965816892891,1
"480",0.523934270120098,0
"493",0.736285123113669,1
"496",0.964578183665997,1
"505",0.96580675307636,0
"510",0.431248381771094,1
"512",0.40699143409252,1
"513",0.965641034534332,1
"519",0.965717144929823,1
"520",0.529268961986224,1
"526",0.533805630050194,1
"530",0.90430256200454,0
"542",0.917248909033307,1
"546",0.524403829350107,1
"557",0.710838192709542,0
"568",0.524406094886154,1
"580",0.565398689067918,1
"582",0.524403829198038,1
"598",0.524403829133037,1
"602",0.917572266647595,1
"607",0.0983621769861911,1
"610",0.965777759098893,0
"611",0.524403829132681,0
"620",0.524403835109333,1
"632",0.591680693763414,1
"640",0.738659794006727,1
"648",0.524403830282643,1
"660",0.96574299578692,0
"668",0.524333897863498,0
"670",0.736965816892891,1
"675",0.524403829350107,1
"679",0.83741464739768,1
"680",0.996506142435974,1
"688",0.533847115746234,0
"692",0.777826689675848,1
"695",0.524474781873524,1
"698",0.917564505066073,1
"713",0.961257694907083,1
"716",0.894020931524413,0
"730",0.736277415321059,1
"735",0.40699143409252,1
"745",0.917541085476031,1
"748",0.52440388144779,1
"749",0.965806948460404,1
"756",0.524403829133008,1
"758",0.965806950023606,1
"762",0.523925538640469,1
"766",0.965806949976229,1
"776",0.965806752267934,1
"784",0.0982750473037703,0
"790",0.941035791331904,0
"796",0.524004982031465,0
"798",0.523937467262497,0
"807",0.907448594402191,0
"811",0.917476508479763,0
"814",0.709290048509494,0
"819",0.524403748093251,0
"823",0.748958150544586,0
"830",0.527117323189648,0
"834",0.917565847421627,0
"847",0.965743303727245,0
"850",0.524560776138527,0
"852",0.705497862192799,0
"853",0.965742289009741,0
"857",0.608583790702671,0
"877",0.0982750472688654,0
"878",0.0985340042749816,0
"883",0.0985316769264897,0
"884",0.736310838506412,0
"887",0.917551630543009,0
"888",0.748958150544586,0
"892",0.591680693763414,0
"896",0.540199214249207,0
"910",0.52480108324207,0
"915",0.915532377434082,0
"924",0.912224096893858,0
"925",0.551652091973532,0
"934",0.917586571959959,0
"935",0.915939315397544,0
"942",0.646429402722925,0
"944",0.840907341449885,0
"945",0.52440382913464,0
"948",0.591680693763414,0
"950",0.917554397747429,0
"962",0.168166925827719,0
"968",0.91731660420386,0
"970",0.523924497012208,0
"973",0.524403829133093,0
"974",0.890432312033177,0
"975",0.917586693502426,0
"976",0.91758669979357,0
"978",0.515858102070717,0
"986",0.917577717763911,0
"988",0.635409604828477,0
"991",0.917586699638657,0
"1003",0.523917640626331,0
"1004",0.964350190800633,0
"1005",0.965742585507491,0
"1010",0.505759034968425,0
"1013",0.917586699604591,0
"1034",0.524403836165837,0
"1037",0.965806939974575,0
"1047",0.413225969633165,0
"1049",0.596584230004633,0
"1064",0.912421760983492,0
"1066",0.529143067200235,0
"1067",0.965806949975736,0
"1068",0.898889568194038,0
"1075",0.52440383764635,1
"1077",0.0982750472688651,1
"1086",0.523923697846872,1
"1088",0.917586699699786,1
